,NumNuclie,TileSize,TileLoadingTime,DetectionTime
0,172,"(936, 652)",0.992,438.34
1,69,"(936, 1024)",0.81,470.305
2,91,"(936, 1024)",0.69,545.067
3,204,"(936, 1024)",0.792,505.378
4,98,"(936, 1024)",0.83,264.515
5,132,"(936, 1024)",0.96,456.86
6,39,"(936, 1024)",0.905,605.706
7,38,"(936, 1024)",1.169,646.382
8,12,"(936, 1024)",0.576,694.483
9,6,"(936, 756)",0.498,611.515
10,98,"(1024, 652)",0.506,438.444
11,94,"(1024, 1024)",0.459,476.429
12,131,"(1024, 1024)",1.386,530.355
13,288,"(1024, 1024)",0.698,531.445
14,108,"(1024, 1024)",0.813,466.741
15,210,"(1024, 1024)",2.026,510.387
16,134,"(1024, 1024)",0.868,507.142
17,67,"(1024, 1024)",0.675,549.14
18,8,"(1024, 1024)",0.913,709.882
19,4,"(1024, 756)",0.674,581.156
20,109,"(1024, 652)",0.441,457.935
21,59,"(1024, 1024)",0.42,538.772
22,91,"(1024, 1024)",0.83,553.329
23,223,"(1024, 1024)",0.821,525.985
24,125,"(1024, 1024)",1.0,510.382
25,234,"(1024, 1024)",0.63,529.806
26,180,"(1024, 1024)",0.738,466.39
27,113,"(1024, 1024)",1.056,467.951
28,83,"(1024, 1024)",0.637,600.943
29,6,"(1024, 756)",1.421,624.864
30,74,"(1024, 652)",0.805,499.547
31,108,"(1024, 1024)",0.627,535.236
32,134,"(1024, 1024)",0.988,488.257
33,131,"(1024, 1024)",2.618,514.105
34,95,"(1024, 1024)",0.617,441.701
35,121,"(1024, 1024)",1.067,491.645
36,114,"(1024, 1024)",0.744,444.552
37,61,"(1024, 1024)",0.807,578.827
38,42,"(1024, 1024)",0.541,733.237
39,10,"(1024, 756)",0.831,604.434
40,142,"(1024, 652)",0.581,505.939
41,52,"(1024, 1024)",0.55,559.306
42,102,"(1024, 1024)",0.77,517.276
43,99,"(1024, 1024)",0.688,486.032
44,81,"(1024, 1024)",0.805,539.962
45,84,"(1024, 1024)",0.766,444.757
46,109,"(1024, 1024)",0.812,481.173
47,81,"(1024, 1024)",0.679,522.346
48,60,"(1024, 1024)",0.55,611.914
49,4,"(1024, 756)",0.609,593.391
50,135,"(1024, 652)",0.562,555.356
51,96,"(1024, 1024)",0.797,484.253
52,129,"(1024, 1024)",0.651,541.57
53,205,"(1024, 1024)",0.711,506.032
54,186,"(1024, 1024)",0.974,483.454
55,151,"(1024, 1024)",1.076,482.213
56,199,"(1024, 1024)",0.717,436.287
57,162,"(1024, 1024)",0.656,480.039
58,51,"(1024, 1024)",0.402,579.039
59,1,"(1024, 756)",0.59,631.443
60,72,"(1024, 652)",0.455,465.201
61,73,"(1024, 1024)",0.497,467.467
62,76,"(1024, 1024)",0.985,514.003
63,159,"(1024, 1024)",0.37,478.687
64,288,"(1024, 1024)",0.77,577.636
65,275,"(1024, 1024)",1.201,566.694
66,167,"(1024, 1024)",0.481,466.055
67,60,"(1024, 1024)",0.58,628.809
68,122,"(1024, 1024)",0.788,473.139
69,26,"(1024, 756)",0.574,557.465
70,22,"(1024, 652)",0.668,516.692
71,39,"(1024, 1024)",0.603,563.97
72,139,"(1024, 1024)",0.637,506.467
73,250,"(1024, 1024)",0.7,565.928
74,210,"(1024, 1024)",0.607,591.847
75,313,"(1024, 1024)",1.021,563.266
76,187,"(1024, 1024)",0.952,513.509
77,112,"(1024, 1024)",0.722,577.236
78,58,"(1024, 1024)",0.956,603.258
79,15,"(1024, 756)",0.574,602.416
80,17,"(1024, 652)",0.793,556.507
81,45,"(1024, 1024)",0.633,594.585
82,68,"(1024, 1024)",0.59,540.142
83,145,"(1024, 1024)",1.04,510.609
84,159,"(1024, 1024)",0.898,513.043
85,181,"(1024, 1024)",0.481,520.938
86,279,"(1024, 1024)",0.498,497.283
87,146,"(1024, 1024)",0.639,525.983
88,65,"(1024, 1024)",0.803,561.747
89,36,"(1024, 756)",0.529,607.295
90,15,"(472, 652)",0.821,365.423
91,12,"(472, 1024)",0.386,536.126
92,6,"(472, 1024)",0.542,591.774
93,36,"(472, 1024)",0.408,484.202
94,47,"(472, 1024)",0.776,537.753
95,51,"(472, 1024)",0.372,480.209
96,90,"(472, 1024)",0.385,374.478
97,127,"(472, 1024)",0.509,477.361
98,10,"(472, 1024)",0.985,609.852
99,34,"(472, 756)",0.591,361.905
