,PreparationTime,ColorDeconvTime,TotalTileLoadingTime,CKPTLoadingTime,ModelInfernceTime,DetectionTime,ROIShape,NumObjects
0,0.147,0.662,0.809,3.657,287.134,295.57,"(468, 652)",5
1,0.159,0.979,1.138,3.507,327.268,335.622,"(468, 1024)",11
2,0.355,1.07,1.429,11.495,376.811,401.367,"(468, 724)",4
3,0.279,1.218,1.497,6.951,422.12,437.637,"(1024, 652)",2
4,0.295,2.854,3.149,6.33,422.953,439.115,"(1024, 1024)",30
5,0.175,1.491,1.666,5.151,666.069,676.105,"(1024, 724)",6
6,0.393,2.243,2.636,9.783,342.629,365.826,"(908, 652)",7
7,0.401,2.247,2.649,6.191,193.12,207.845,"(908, 1024)",15
8,0.406,2.103,2.514,8.114,603.399,627.58,"(908, 724)",7
